old_my_translation,new_deepseek
"调光（dimmable）","调光"
"开尔照明 GX53 LED 灯，功率 5W，灯体结合铝材与塑料，支持调光（dimmable）。GX53 薄型设计，适合安装于柜内及各类室内空间。","开尔照明 GX53 LED 灯，功率 5W，灯体结合铝材与塑料，支持调光。GX53 薄型设计，适合安装于柜内及各类室内空间。"
"可充电电池（rechargeable）","可充电电池"
"达威尔（广东开平）—— 专业生产手工不锈钢水槽、厨房龙头、地漏（floor drain）及配件","达威尔（广东开平）—— 专业生产手工不锈钢水槽、厨房龙头、地漏及配件"
"食品级 SUS304 不锈钢水槽；手工（handmade）与拉伸（drawn）两大系列","食品级 SUS304 不锈钢水槽；手工与拉伸两大系列"
"地漏为强项产品线 —— 多种侧排 / 下排防臭款式","地漏为强项产品线 —— 多种侧排/下排防臭款式"
"纸箱 + 泡沫 / 保护膜保护不锈钢表面","纸箱 + 泡沫/保护膜保护不锈钢表面"
"按批量 / 集装箱；支持多型号混装","按批量/集装箱；支持多型号混装"
"水槽：按尺寸开台面孔（cut-out），加装卡扣并打边缘硅胶","水槽：按尺寸开台面孔，加装卡扣并打边缘硅胶"
"龙头：装入预留孔，接通冷 / 热水，检查渗漏","龙头：装入预留孔，接通冷/热水，检查渗漏"
"用软布加中性清洁剂顺纹擦拭；避免使用钢丝球及强酸，以防划伤 / 腐蚀。","用软布加中性清洁剂顺纹擦拭；避免使用钢丝球及强酸，以防划伤/腐蚀。"
"使用后擦干，避免水渍 / 水垢；定期疏通滤篮与排水存水弯。","使用后擦干，避免水渍/水垢；定期疏通滤篮与排水存水弯。"
"龙头 / 地漏","龙头/地漏"
"是否提供台面开孔（cut-out）尺寸？","是否提供台面开孔尺寸？"
"按批量 / 集装箱计；交期随订单确认。","按批量/集装箱计；交期随订单确认。"
"食品级 304 不锈钢水槽 / 配件，防锈，经久耐用美观。","食品级 304 不锈钢水槽/配件，防锈，经久耐用美观。"
"达威尔不锈钢水槽 —— 手工（handmade R10）与拉伸两大系列，厚实 SUS304 不锈钢，底部隔音，提供单 / 双槽多款，适用于家用及商用厨房。","达威尔不锈钢水槽 —— 手工（handmade R10）与拉伸两大系列，厚实 SUS304 不锈钢，底部隔音，提供单/双槽多款，适用于家用及商用厨房。"
"手工（handmade）/ 拉伸（drawn）","手工/拉伸"
"单 / 双槽，台下 / 台上","单/双槽，台下/台上"
"R 角合理、表面平滑，清洁快捷。","R角合理、表面平滑，清洁快捷。"
"达威尔地漏（floor drain）—— 不锈钢 / 铜防臭地漏，多种侧排与下排款式，排水量大，适用于浴室、阳台、厨房。","达威尔地漏 —— 不锈钢 / 铜防臭地漏，多种侧排与下排款式，排水量大，适用于浴室、阳台、厨房。"
"手工槽 美州款系列","手工槽 美洲款系列"
"下排水地漏E系列","下排水地漏 E 系列"
"正方形地漏L05系列","正方形地漏 L05 系列"
"拉伸水槽（drawn）","拉伸水槽"
"Guangdong Dongyuan Kitchenware Industrial Co., Ltd.（东原厨具）创立于 1993 年，厂区约 25,000 ㎡，坐落于佛山市顺德区 —— 珠江三角洲的核心工业带。东原专业生产不锈钢厨房水槽、橱柜及卫浴设备；全部产品采用进口高端不锈钢板，防腐蚀。","广东东原厨具实业有限公司（东原厨具）创立于 1993 年，厂区约 25,000 ㎡，坐落于佛山市顺德区 —— 珠江三角洲的核心工业带。东原专业生产不锈钢厨房水槽、橱柜及卫浴设备；全部产品采用进口高端不锈钢板，防腐蚀。"
"Dongyuan 东原 (Guangdong Dongyuan Kitchenware)","东原（广东东原厨具）"
"Guangdong Dongyuan Kitchenware（东原厨具）— 创立于 1993 年，佛山顺德","广东东原厨具（东原厨具）— 创立于 1993 年，佛山顺德"
"专业生产不锈钢水槽：台下式（undermount）、台上式（topmount）、手工款（handmade）","专业生产不锈钢水槽：台下式、台上式、手工款"
"按石材台面选择安装方式：台下式（undermount）、台上式（topmount）或平嵌式（flushmount）","按石材台面选择安装方式：台下式、台上式或平嵌式"
"种类齐全：台下式（undermount）、台上式（topmount）、手工款（handmade），单盆与双盆均有。","种类齐全：台下式、台上式、手工款，单盆与双盆均有。"
"台上式水槽（topmount）","台上式水槽"
"东原台上式（top mount）厨房水槽，采用坚固防锈的 SUS 304 不锈钢制造。明装于台面之上的安装方式，施工简便，适配多种家庭厨房空间。","东原台上式厨房水槽，采用坚固防锈的 SUS 304 不锈钢制造。明装于台面之上的安装方式，施工简便，适配多种家庭厨房空间。"
"台下式（undermount）单盆厨房水槽，采用坚固防锈的 SUS 304 不锈钢制造。单盆设计宽敞，安装于石材台面下方使台面平整无缝，易于清洁。","台下式单盆厨房水槽，采用坚固防锈的 SUS 304 不锈钢制造。单盆设计宽敞，安装于石材台面下方使台面平整无缝，易于清洁。"
"单盆，台下式安装（undermount）","单盆，台下式安装"
"东原 SUS 304 不锈钢台下式（undermount）厨房水槽，型号 801R，台面下方安装方式使台面平整、易于清洁。304 不锈钢材质耐用防锈，适合现代家庭厨房。","东原 SUS 304 不锈钢台下式厨房水槽，型号 801R，台面下方安装方式使台面平整、易于清洁。304 不锈钢材质耐用防锈，适合现代家庭厨房。"
"单盆水槽（single bowl）","单盆水槽"
"东原 SUS 304 不锈钢单盆（single bowl）厨房水槽，型号 HAD。单盆设计宽敞，耐用防锈，适合家庭与商用厨房区域。","东原 SUS 304 不锈钢单盆厨房水槽，型号 HAD。单盆设计宽敞，耐用防锈，适合家庭与商用厨房区域。"
"商用水槽（commercial）","商用水槽"
"环保材料（低 VOC 树脂）","环保材料（低VOC树脂）"
"德盛石材 —— 面向越南室内装饰市场的人造石（engineered stone）供应与加工商","德盛石材——面向越南室内装饰市场的人造石（engineered stone）供应与加工商"
"人造石由约 90% 石英粉 / 石粉 + 树脂经真空振压成型","人造石由约90%石英粉/石粉+树脂经真空振压成型"
"大规格板材 3200×1600mm、3000×1400/1600mm；厚度 18–30mm；可按需切割尺寸","大规格板材3200×1600mm、3000×1400/1600mm；厚度18–30mm；可按需切割尺寸"
"供应能力雄厚（每年数百万㎡），原料供应稳定","供应能力雄厚（每年数百万平方米），原料供应稳定"
"铁架（A 字架）+ 护角 + 缠绕膜；出口采用木箱","铁架（A字架）+护角+缠绕膜；出口采用木箱"
"18 – 30mm（视系列而定）","18–30mm（视系列而定）"
"按集装箱计；支持多色 / 多规格混装","按集装箱计；支持多色/多规格混装"
"竖立于 A 字架上，避免碰撞板材边缘","竖立于A字架上，避免碰撞板材边缘"
"CNC 切割 + 边缘打磨；接缝处使用人造石专用胶","CNC切割+边缘打磨；接缝处使用人造石专用胶"
"用软布加温水 / 中性清洁剂擦拭。避免强力清洁剂及高浓度酸 / 碱。","用软布加温水/中性清洁剂擦拭。避免强力清洁剂及高浓度酸/碱。"
"切割及放置热锅时使用砧板 / 隔热垫。石英石耐热性佳，但应避免骤冷骤热。","切割及放置热锅时使用砧板/隔热垫。石英石耐热性佳，但应避免骤冷骤热。"
"按集装箱 / 数量计；交期随订单协商（参考约 15 天）。","按集装箱/数量计；交期随订单协商（参考约15天）。"
"提供。可提供小块样板，供大批量下单前确认颜色 / 纹理。","提供。可提供小块样板，供大批量下单前确认颜色/纹理。"
"德盛人造石英石（engineered quartz）—— 由约 90% 石英粉 + 树脂压制而成，硬度高、耐刮擦、防渗透、耐酸性能优异。适用于厨房台面、台盆面、地面及墙面铺贴。","德盛人造石英石（engineered quartz）——由约90%石英粉+树脂压制而成，硬度高、耐刮擦、防渗透、耐酸性能优异。适用于厨房台面、台盆面、地面及墙面铺贴。"
"石英粉约 90% + 树脂","石英粉约90%+树脂"
"抛光 / 哑光（honed）","抛光/哑光（honed）"
"表面无孔，不渗水 / 渗油，易于清洁。","表面无孔，不渗水/渗油，易于清洁。"
"白 / 灰 / 黑 / 米等多种色调及 Calacatta 金纹系列。","白/灰/黑/米等多种色调及Calacatta金纹系列。"
"德盛人造大理石（engineered/artificial marble）—— 高度还原天然大理石纹理之美，且均匀度高、易于加工、价格合理，适用于墙面、地面及室内装饰。","德盛人造大理石（engineered/artificial marble）——高度还原天然大理石纹理之美，且均匀度高、易于加工、价格合理，适用于墙面、地面及室内装饰。"
"天然石材 + 大理石粉 + 树脂","天然石材+大理石粉+树脂"
"抛光 / 哑光 / 喷砂","抛光/哑光/喷砂"
"切割 / 拼接灵活，损耗低于天然石块。","切割/拼接灵活，损耗低于天然石块。"
"德盛人造玉石（onyx）—— 具备透光（translucent）效果与独特的玉石纹理，适用于装饰点缀、透光隔断、吧台等项目。","德盛人造玉石（onyx）——具备透光（translucent）效果与独特的玉石纹理，适用于装饰点缀、透光隔断、吧台等项目。"
"矿物粉 + 树脂（玉石效果）","矿物粉+树脂（玉石效果）"
"背光（backlit）照射时尤为出彩，营造高雅点缀。","背光（backlit）照射时尤为出彩，营造高雅点缀"
"玉石纹理梦幻，每块板材各具特色。","玉石纹理梦幻，每块板材各具特色"
"不易开裂，比天然石块更易施工。","不易开裂，比天然石块更易施工"
"Golden Calacatta 人造石英石表面。高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护清洁，经久耐用，可按需定制。","Golden Calacatta 人造石英石表面。高度耐酸/耐污/耐热/耐刮擦，环保，易于维护清洁，经久耐用，可按需定制"
"3200*1600MM / 3000*1400MM / 3000*1600MM / 3000*1200MM 及可按需定制尺寸","3200×1600mm / 3000×1400mm / 3000×1600mm / 3000×1200mm 及可按需定制尺寸"
"高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护清洁，经久耐用，可按需定制。","高度耐酸/耐污/耐热/耐刮擦，环保，易于维护清洁，经久耐用，可按需定制"
"米色含碎石颗粒的人造石英石（人造大理石）板材。高度耐酸、耐污、耐热、耐刮擦；环保，易于维护清洁，经久耐用，并可按需定制。","米色含碎石颗粒的人造石英石（人造大理石）板材。高度耐酸、耐污、耐热、耐刮擦；环保，易于维护清洁，经久耐用，并可按需定制"
"人造石英石表面（90% 石英粉、树脂）。高度耐酸、耐污、耐热、耐刮擦，环保，易于维护清洁，经久耐用，并可按需定制尺寸。","人造石英石表面（90%石英粉、树脂）。高度耐酸、耐污、耐热、耐刮擦，环保，易于维护清洁，经久耐用，并可按需定制尺寸"
"高度耐酸、耐污、耐热、耐刮擦。环保，易于维护清洁，经久耐用。可按需定制尺寸。","高度耐酸、耐污、耐热、耐刮擦。环保，易于维护清洁，经久耐用。可按需定制尺寸"
"高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护清洁，经久耐用，可按需定制。石英石表面由 90% 石英粉与树脂制成，适用于室内装饰。","高度耐酸/耐污/耐热/耐刮擦，环保，易于维护清洁，经久耐用，可按需定制。石英石表面由90%石英粉与树脂制成，适用于室内装饰"
"人造石英石板材（型号 PXQZ 240903-6），由 90% 石英粉与树脂制成，产自越南乂安。提供白、灰、黑、米等多种颜色及大规格尺寸，适用于台面等室内应用。","人造石英石板材（型号 PXQZ 240903-6），由90%石英粉与树脂制成，产自越南乂安。提供白、灰、黑、米等多种颜色及大规格尺寸，适用于台面等室内应用"
